EPIC id,2MASS id,Other ids,SpT,EW Hα (Å),Hα 10% (km s−1),References,Region
203382255,J16144265-2619421,,M4-M5.5,−77,154,1,USco
203725791,J16012902-2509069,USco CTIO 7,M2/M3.5,"−170, −129",437,"1, 2",USco
203786695,J16245974-2456008,WSB 18,M3.5,"−8.4, −140",L,3,ρ Oph
203789507,J15570490-2455227,,L,L,L,,USco
203794605,J16302339-2454161,WSB 67,M3.5-M5,−69,485,1,ρ Oph
203822485,J16272297-2448071,"WSB 49, MHO 2111, DROXO 57",M4.25,−37,L,4,ρ Oph
203856109,J16095198-2440197,,M5-M5.5,−15,155,1,USco
203899786,J16252434-2429442,"V852 Oph, SR 22, DoAr 19, WSB 23",M4.5/M3,"−31, −170",L,"4, 5, 2006",ρ Oph
203905576,J16261886-2428196,"VSSG 1, Elias 20, YLW 31, ISO-Oph 24, IRAS 16233-2421, MHO 2103",K7–mid-,−70,416,"1,7",ρ Oph
203905625,J16284527-2428190,"V853 Oph, SR 13, DoAr 40, WSB 62,ISO-Oph 199, HBC 266",M3.75,"−30, −48, −46",L,4,ρ Oph
203913804,J16275558-2426179,"V2059 Oph, DoAr 37, SR 10, ISO-Oph 187,WSB 57, YLW 56, HBC 265, SVS 1771",M2,"−43, −56, −108",L,"4,8",ρ Oph
203928175,J16282333-2422405,SR 20W,K5,−35,L,3,ρ Oph
203935537,J16255615-2420481,"V2058 Oph, DoAr 20, Elias 13, SR 4, WSB 25, YLW 25, IRAS 16229-2413, MHA 365-12, ISO-Oph 6",K4.5,"−220, −87, −67",L,4,ρ Oph
203954898,J16263682-2415518,ISO-Oph 51,M0,−10,L,9,ρ Oph
204130613,J16145026-2332397,BV Sco,M4.5,−108,L,10,USco
204226548,J15582981-2310077,"USco CTIO 33, USco 42",M3,"−158, −250",L,"11, 12",USco
204233955,J16072955-2308221,,M3,−150,L,10,USco
204342099,J16153456-2242421,"VV Sco, IRAS 16126-2235, PDS 82a",M1/K9-M0,"−20, −31",337,"13, 1",USco
204347422,J16195140-2241266,,L,L,L,,USco
204360807,J16215741-2238180,,M6,−140,341,1,USco
204397408,J16081081-2229428,,M5.75/M5,"−22, −49, −31",L,"10, 14, 15",USco
204440603,J16142312-2219338,,M5.75,−95,L,10,USco
204830786,J16075796-2040087,IRAS 16050-2032,M1/G6-K5,"−357, −165",684,"16, 1",USco
204906020,J16070211-2019387,KSA 68,M5,"−8, −30",L,"11, 17",USco
204908189,J16111330-2019029,,M1/M3,−160,324,"1,18",USco
205008727,J16193570-1950426,,K7-M3,−55,322,1,USco
205061092,J16145178-1935402,,M5-M6,−70,173,1,USco
205088645,J16111237-1927374,,"M5, M6","−50, −50",L,"12, 19",USco
205156547,J16121242-1907191,,M5-M6,−15,127,1,USco